name_en,category,states_name_en,region_en
Mining Area of the Great Copper Mountain in Falun,Cultural,Sweden,Europe and North America
Grimeton Radio Station++ Varberg,Cultural,Sweden,Europe and North America
Decorated Farmhouses of Hälsingland,Cultural,Sweden,Europe and North America
Old City of Berne,Cultural,Switzerland,Europe and North America
Abbey of St Gall,Cultural,Switzerland,Europe and North America
Benedictine Convent of St John at Müstair,Cultural,Switzerland,Europe and North America
Three Castles++ Defensive Wall and Ramparts of the Market-Town of Bellinzona,Cultural,Switzerland,Europe and North America
Swiss Alps Jungfrau-Aletsch,Natural,Switzerland,Europe and North America
Swiss Tectonic Arena Sardona,Natural,Switzerland,Europe and North America
Lavaux++ Vineyard Terraces,Cultural,Switzerland,Europe and North America
La Chaux-de-Fonds / Le Locle++ Watchmaking Town Planning,Cultural,Switzerland,Europe and North America
Historic Areas of Istanbul,Cultural,Turkey,Europe and North America
Göreme National Park and the Rock Sites of Cappadocia,Mixed,Turkey,Europe and North America
Great Mosque and Hospital of Divriği,Cultural,Turkey,Europe and North America
Hattusha: the Hittite Capital,Cultural,Turkey,Europe and North America
Nemrut Dağ,Cultural,Turkey,Europe and North America
Xanthos-Letoon,Cultural,Turkey,Europe and North America
Hierapolis-Pamukkale,Mixed,Turkey,Europe and North America
City of Safranbolu,Cultural,Turkey,Europe and North America
Archaeological Site of Troy,Cultural,Turkey,Europe and North America
Ephesus,Cultural,Turkey,Europe and North America
Selimiye Mosque and its Social Complex,Cultural,Turkey,Europe and North America
Neolithic Site of Çatalhöyük,Cultural,Turkey,Europe and North America
Bursa and Cumalıkızık: the Birth of the Ottoman Empire,Cultural,Turkey,Europe and North America
Pergamon and its Multi-Layered Cultural Landscape,Cultural,Turkey,Europe and North America
Diyarbakır Fortress and Hevsel Gardens Cultural Landscape,Cultural,Turkey,Europe and North America
Archaeological Site of Ani,Cultural,Turkey,Europe and North America
Aphrodisias,Cultural,Turkey,Europe and North America
Göbekli Tepe,Cultural,Turkey,Europe and North America
Kiev: Saint-Sophia Cathedral and Related Monastic Buildings++ Kiev-Pechersk Lavra,Cultural,Ukraine,Europe and North America
L'viv – the Ensemble of the Historic Centre,Cultural,Ukraine,Europe and North America
Residence of Bukovinian and Dalmatian Metropolitans,Cultural,Ukraine,Europe and North America
Ancient City of Tauric Chersonese and its Chora,Cultural,Ukraine,Europe and North America
Giant's Causeway and Causeway Coast,Natural,United Kingdom of Great Britain and Northern Ireland,Europe and North America
Durham Castle and Cathedral,Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America
Ironbridge Gorge,Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America
Studley Royal Park including the Ruins of Fountains Abbey,Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America
Stonehenge++ Avebury and Associated Sites,Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America
Castles and Town Walls of King Edward in Gwynedd,Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America
St Kilda,Mixed,United Kingdom of Great Britain and Northern Ireland,Europe and North America
The English Lake District,Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America
Blenheim Palace,Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America
Palace of Westminster and Westminster Abbey including Saint Margaret’s Church,Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America
City of Bath,Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America
New Lanark,Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America
Henderson Island,Natural,United Kingdom of Great Britain and Northern Ireland,Europe and North America
Tower of London,Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America
Canterbury Cathedral++ St Augustine's Abbey++ and St Martin's Church,Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America
Heart of Neolithic Orkney,Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America
Old and New Towns of Edinburgh,Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America
Gough and Inaccessible Islands,Natural,United Kingdom of Great Britain and Northern Ireland,Europe and North America
Maritime Greenwich,Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America
Historic Town of St George and Related Fortifications++ Bermuda,Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America
Blaenavon Industrial Landscape,Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America
Saltaire,Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America
Dorset and East Devon Coast,Natural,United Kingdom of Great Britain and Northern Ireland,Europe and North America
Derwent Valley Mills,Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America
Royal Botanic Gardens++ Kew,Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America
Liverpool – Maritime Mercantile City,Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America
Cornwall and West Devon Mining Landscape,Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America
Pontcysyllte Aqueduct and Canal,Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America
The Forth Bridge,Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America
Gorham's Cave Complex,Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America
Jodrell Bank Observatory,Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,Natural,Albania,Europe and North America
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,Natural,Austria,Europe and North America
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,Natural,Belgium,Europe and North America
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,Natural,Bulgaria,Europe and North America
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,Natural,Croatia,Europe and North America
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,Natural,Germany,Europe and North America
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,Natural,Italy,Europe and North America
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,Natural,Romania,Europe and North America
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,Natural,Slovakia,Europe and North America
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,Natural,Slovenia,Europe and North America
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,Natural,Spain,Europe and North America
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,Natural,Ukraine,Europe and North America
Natural and Cultural Heritage of the Ohrid region,Mixed,Albania,Europe and North America
Natural and Cultural Heritage of the Ohrid region,Mixed,North Macedonia,Europe and North America
Prehistoric Pile Dwellings around the Alps,Cultural,Austria,Europe and North America
Prehistoric Pile Dwellings around the Alps,Cultural,France,Europe and North America
Prehistoric Pile Dwellings around the Alps,Cultural,Germany,Europe and North America
Prehistoric Pile Dwellings around the Alps,Cultural,Italy,Europe and North America
Prehistoric Pile Dwellings around the Alps,Cultural,Slovenia,Europe and North America
Prehistoric Pile Dwellings around the Alps,Cultural,Switzerland,Europe and North America
Prehistoric Pile Dwellings around the Alps,Cultural,Austria,Europe and North America
Prehistoric Pile Dwellings around the Alps,Cultural,France,Europe and North America
Prehistoric Pile Dwellings around the Alps,Cultural,Germany,Europe and North America
Prehistoric Pile Dwellings around the Alps,Cultural,Italy,Europe and North America
Prehistoric Pile Dwellings around the Alps,Cultural,Slovenia,Europe and North America
Prehistoric Pile Dwellings around the Alps,Cultural,Switzerland,Europe and North America
Fertö / Neusiedlersee Cultural Landscape,Cultural,Austria,Europe and North America
Fertö / Neusiedlersee Cultural Landscape,Cultural,Hungary,Europe and North America
Struve Geodetic Arc,Cultural,Belarus,Europe and North America
Struve Geodetic Arc,Cultural,Estonia,Europe and North America
Struve Geodetic Arc,Cultural,Finland,Europe and North America
Struve Geodetic Arc,Cultural,Latvia,Europe and North America
Struve Geodetic Arc,Cultural,Lithuania,Europe and North America
Struve Geodetic Arc,Cultural,Norway,Europe and North America
Struve Geodetic Arc,Cultural,Republic of Moldova,Europe and North America
Struve Geodetic Arc,Cultural,Russian Federation,Europe and North America
Struve Geodetic Arc,Cultural,Sweden,Europe and North America
Struve Geodetic Arc,Cultural,Ukraine,Europe and North America
Białowieża Forest,Natural,Belarus,Europe and North America
Białowieża Forest,Natural,Poland,Europe and North America
Belfries of Belgium and France,Cultural,Belgium,Europe and North America
Belfries of Belgium and France,Cultural,France,Europe and North America
Stećci Medieval Tombstone Graveyards,Cultural,Bosnia and Herzegovina,Europe and North America
Stećci Medieval Tombstone Graveyards,Cultural,Croatia,Europe and North America
Stećci Medieval Tombstone Graveyards,Cultural,Serbia,Europe and North America
Stećci Medieval Tombstone Graveyards,Cultural,Montenegro,Europe and North America
Venetian Works of Defence between the 16th and 17th Centuries: <em>Stato da Terra</em> – Western <em>Stato da Mar</em>,Cultural,Croatia,Europe and North America
Venetian Works of Defence between the 16th and 17th Centuries: <em>Stato da Terra</em> – Western <em>Stato da Mar</em>,Cultural,Italy,Europe and North America
Venetian Works of Defence between the 16th and 17th Centuries: <em>Stato da Terra</em> – Western <em>Stato da Mar</em>,Cultural,Montenegro,Europe and North America
Erzgebirge/Krušnohoří Mining Region,Cultural,Czechia,Europe and North America
Erzgebirge/Krušnohoří Mining Region,Cultural,Germany,Europe and North America
Wadden Sea,Natural,Denmark,Europe and North America
Wadden Sea,Natural,Germany,Europe and North America
Wadden Sea,Natural,Netherlands,Europe and North America
High Coast / Kvarken Archipelago,Natural,Finland,Europe and North America
High Coast / Kvarken Archipelago,Natural,Sweden,Europe and North America
Pyrénées - Mont Perdu,Mixed,France,Europe and North America
Pyrénées - Mont Perdu,Mixed,Spain,Europe and North America
Muskauer Park / Park Mużakowski,Cultural,Germany,Europe and North America
Muskauer Park / Park Mużakowski,Cultural,Poland,Europe and North America
Frontiers of the Roman Empire,Cultural,Germany,Europe and North America
Frontiers of the Roman Empire,Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America
Historic Centre of Rome++ the Properties of the Holy See in that City Enjoying Extraterritorial Rights and San Paolo Fuori le Mura,Cultural,Holy See,Europe and North America
Historic Centre of Rome++ the Properties of the Holy See in that City Enjoying Extraterritorial Rights and San Paolo Fuori le Mura,Cultural,Italy,Europe and North America
Caves of Aggtelek Karst and Slovak Karst,Natural,Hungary,Europe and North America
Caves of Aggtelek Karst and Slovak Karst,Natural,Slovakia,Europe and North America
Monte San Giorgio,Natural,Italy,Europe and North America
Monte San Giorgio,Natural,Switzerland,Europe and North America
Rhaetian Railway in the Albula / Bernina Landscapes,Cultural,Italy,Europe and North America
Rhaetian Railway in the Albula / Bernina Landscapes,Cultural,Switzerland,Europe and North America
Curonian Spit,Cultural,Lithuania,Europe and North America
Curonian Spit,Cultural,Russian Federation,Europe and North America
Wooden <em>Tserkvas</em> of the Carpathian Region in Poland and Ukraine,Cultural,Poland,Europe and North America
Wooden <em>Tserkvas</em> of the Carpathian Region in Poland and Ukraine,Cultural,Ukraine,Europe and North America
Prehistoric Rock Art Sites in the Côa Valley and Siega Verde,Cultural,Portugal,Europe and North America
Prehistoric Rock Art Sites in the Côa Valley and Siega Verde,Cultural,Spain,Europe and North America
Heritage of Mercury. Almadén and Idrija,Cultural,Slovenia,Europe and North America
Heritage of Mercury. Almadén and Idrija,Cultural,Spain,Europe and North America
